* Measurement data saved by REW V5.18
* Source: Scarlett 2i2 USB, no input selected, Left channel, volume: no control
* Format:  512k Log Swept Sine, 1 sweep at -34.0 dBFS  With no timing reference
* Dated: Jun 4, 2018 4:04:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: AKG-1
* Measurement: AKG 451
* Smoothing: 1/3 octave
* Frequency Step: 1/12 octave
* Start Frequency: 2.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
2.102, 37.639, 85.729
2.227, 36.714, 87.697
2.360, 35.714, 90.127
2.500, 33.612, 93.560
2.649, 31.098, 96.762
2.806, 28.914, 96.848
2.973, 26.956, 94.181
3.150, 25.537, 88.707
3.337, 24.662, 80.871
3.536, 24.234, 73.615
3.746, 24.260, 68.214
3.969, 24.705, 66.886
4.204, 25.645, 69.571
4.454, 27.127, 75.053
4.719, 29.161, 81.241
5.000, 31.585, 85.097
5.297, 34.091, 84.778
5.612, 36.367, 79.777
5.946, 38.147, 70.627
6.300, 39.282, 58.619
6.674, 39.754, 45.389
7.071, 39.694, 32.608
7.492, 39.364, 21.576
7.937, 39.116, 12.716
8.409, 39.274, 5.129
8.909, 39.955, -2.986
9.439, 41.042, -13.467
10.000, 42.307, -27.688
10.595, 43.558, -47.061
11.225, 44.681, -73.909
11.892, 45.570, -111.488
12.599, 46.115, -162.882
13.348, 46.279, 130.333
14.142, 46.154, 48.720
14.983, 45.937, -45.371
15.874, 45.892, -148.382
16.818, 46.352, 104.436
17.818, 47.610, -0.043
18.877, 49.616, -93.497
20.000, 51.972, -169.473
21.189, 54.394, 133.726
22.449, 57.038, 92.958
23.784, 60.234, 62.012
25.198, 64.013, 34.354
26.697, 68.010, 5.610
28.284, 71.698, -25.698
29.966, 74.635, -58.599
31.748, 76.659, -90.497
33.636, 77.957, -118.801
35.636, 78.911, -142.523
37.755, 79.862, -162.448
40.000, 80.987, 179.615
42.379, 82.245, 161.730
44.898, 83.407, 143.102
47.568, 84.282, 124.707
50.397, 84.923, 107.979
53.394, 85.517, 93.122
56.569, 86.144, 79.349
59.932, 86.757, 66.375
63.496, 87.400, 54.726
67.272, 88.289, 44.123
71.272, 89.552, 32.286
75.510, 90.921, 16.505
80.000, 91.835, -3.633
84.757, 91.845, -25.697
89.797, 90.841, -45.988
95.137, 89.053, -61.143
100.794, 86.944, -69.202
106.787, 85.074, -70.051
113.137, 83.971, -65.831
119.865, 83.819, -60.980
126.992, 84.178, -59.228
134.543, 84.404, -59.983
142.544, 84.332, -59.693
151.020, 84.337, -56.184
160.000, 84.866, -50.451
169.514, 86.089, -45.370
179.594, 87.830, -43.725
190.273, 89.704, -46.578
201.587, 91.378, -53.242
213.574, 92.660, -62.410
226.274, 93.469, -72.524
239.729, 93.882, -82.087
253.984, 94.092, -90.615
269.087, 94.211, -98.964
285.088, 94.107, -107.978
302.040, 93.554, -116.942
320.000, 92.489, -123.794
339.028, 91.107, -126.553
359.188, 89.771, -124.323
380.546, 88.898, -117.866
403.175, 88.754, -109.761
427.149, 89.269, -102.958
452.548, 90.162, -99.092
479.458, 91.143, -98.504
507.968, 91.961, -100.879
538.174, 92.379, -105.258
570.175, 92.244, -109.727
604.080, 91.638, -111.726
640.000, 90.952, -109.658
678.056, 90.657, -104.462
718.376, 90.947, -99.097
761.093, 91.617, -96.338
806.349, 92.249, -96.930
854.297, 92.528, -99.434
905.097, 92.434, -101.735
958.917, 92.165, -102.795
1015.937, 91.905, -103.043
1076.347, 91.685, -103.456
1140.350, 91.422, -104.509
1208.159, 91.068, -105.883
1280.000, 90.712, -107.327
1356.113, 90.465, -109.554
1436.751, 90.301, -113.498
1522.185, 90.146, -119.224
1612.699, 89.998, -126.344
1708.595, 89.859, -134.381
1810.193, 89.728, -142.431
1917.833, 89.629, -149.577
2031.873, 89.544, -155.038
2152.695, 89.462, -157.872
2280.701, 89.442, -157.519
2416.318, 89.568, -154.219
2560.000, 89.888, -148.860
2712.226, 90.388, -142.702
2873.503, 90.977, -136.928
3044.370, 91.533, -132.302
3225.398, 91.952, -129.094
3417.190, 92.187, -127.155
3620.387, 92.270, -126.134
3835.666, 92.284, -125.796
4063.747, 92.278, -126.013
4305.390, 92.239, -126.335
4561.401, 92.167, -125.965
4832.637, 92.124, -124.446
5120.000, 92.168, -122.169
5424.451, 92.283, -119.984
5747.006, 92.399, -118.443
6088.740, 92.487, -117.585
6450.796, 92.591, -117.352
6834.380, 92.782, -117.953
7240.773, 93.096, -119.738
7671.332, 93.519, -122.786
8127.493, 94.003, -126.707
8610.779, 94.469, -130.646
9122.803, 94.829, -133.475
9665.273, 95.042, -134.353
10240.000, 95.128, -133.370
10848.902, 95.141, -131.711
11494.012, 95.125, -131.228
12177.480, 95.091, -133.630
12901.592, 95.005, -139.618
13668.760, 94.801, -148.185
14481.547, 94.420, -156.406
15342.664, 93.839, -159.905
16254.986, 93.055, -153.903
17221.559, 91.994, -134.469
18245.605, 90.453, -99.802
19330.547, 88.252, -52.227
20480.000, 85.616, -0.940
21697.805, 83.448, 37.767
