* Measurement data saved by REW V5.18
* Source: Scarlett 2i2 USB, no input selected, Left channel, volume: no control
* Format:  512k Log Swept Sine, 1 sweep at -34.0 dBFS  With no timing reference
* Dated: Jun 4, 2018 2:17:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: COL-1
* Measurement: Coles 4038
* Smoothing: 1/3 octave
* Frequency Step: 1/12 octave
* Start Frequency: 2.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
2.102, 50.443, 115.618
2.227, 50.861, 121.763
2.360, 51.314, 130.724
2.500, 52.316, 144.520
2.649, 53.548, 160.306
2.806, 54.716, 171.939
2.973, 55.848, -179.651
3.150, 56.701, -175.507
3.337, 57.237, -175.516
3.536, 57.343, -177.609
3.746, 56.903, 178.819
3.969, 55.775, 174.891
4.204, 53.704, 172.680
4.454, 50.643, 174.384
4.719, 46.694, -177.235
5.000, 42.543, -159.936
5.297, 39.261, -135.357
5.612, 37.577, -108.305
5.946, 37.542, -85.353
6.300, 38.468, -72.694
6.674, 39.466, -74.507
7.071, 40.104, -92.699
7.492, 40.546, -127.102
7.937, 41.145, -175.422
8.409, 41.989, 125.851
8.909, 42.882, 58.917
9.439, 43.723, -15.665
10.000, 44.714, -96.515
10.595, 46.069, -178.814
11.225, 47.645, 104.130
11.892, 49.117, 37.221
12.599, 50.511, -19.248
13.348, 52.352, -68.774
14.142, 55.140, -114.599
14.983, 58.818, -156.198
15.874, 62.820, 169.287
16.818, 66.448, 142.903
17.818, 69.113, 123.224
18.877, 70.624, 108.568
20.000, 71.367, 96.647
21.189, 71.996, 83.134
22.449, 73.005, 63.679
23.784, 74.655, 37.111
25.198, 77.026, 5.498
26.697, 79.924, -28.567
28.284, 82.836, -63.560
29.966, 85.183, -97.938
31.748, 86.731, -129.171
33.636, 87.741, -155.124
35.636, 88.679, -176.021
37.755, 89.816, 165.876
40.000, 91.136, 148.228
42.379, 92.467, 129.816
44.898, 93.622, 110.682
47.568, 94.509, 91.714
50.397, 95.177, 73.722
53.394, 95.725, 56.682
56.569, 96.153, 40.027
59.932, 96.339, 23.806
63.496, 96.241, 9.291
67.272, 96.082, -2.334
71.272, 96.181, -11.908
75.510, 96.603, -21.721
80.000, 97.153, -33.321
84.757, 97.593, -47.235
89.797, 97.623, -63.417
95.137, 96.888, -80.201
100.794, 95.264, -93.840
106.787, 93.142, -100.362
113.137, 91.345, -98.937
119.865, 90.508, -93.615
126.992, 90.511, -89.845
134.543, 90.798, -89.954
142.544, 91.065, -94.188
151.020, 91.365, -105.014
160.000, 91.757, -128.561
169.514, 92.169, -170.798
179.594, 92.674, 128.939
190.273, 93.538, 60.901
201.587, 94.806, -0.679
213.574, 96.124, -47.226
226.274, 97.078, -78.541
239.729, 97.523, -98.462
253.984, 97.600, -111.188
269.087, 97.477, -120.292
285.088, 97.138, -128.034
302.040, 96.466, -134.640
320.000, 95.459, -138.976
339.028, 94.285, -139.910
359.188, 93.216, -137.009
380.546, 92.569, -131.056
403.175, 92.528, -124.368
427.149, 92.949, -119.407
452.548, 93.520, -116.878
479.458, 94.047, -116.109
507.968, 94.471, -116.575
538.174, 94.703, -118.039
570.175, 94.626, -119.649
604.080, 94.256, -119.805
640.000, 93.832, -117.327
678.056, 93.680, -112.700
718.376, 93.960, -107.918
761.093, 94.557, -105.107
806.349, 95.165, -105.166
854.297, 95.494, -107.272
905.097, 95.456, -109.659
958.917, 95.182, -111.036
1015.937, 94.865, -111.368
1076.347, 94.594, -111.474
1140.350, 94.330, -112.031
1208.159, 94.027, -113.017
1280.000, 93.751, -114.335
1356.113, 93.594, -116.688
1436.751, 93.525, -121.050
1522.185, 93.449, -127.541
1612.699, 93.342, -135.665
1708.595, 93.208, -144.824
1810.193, 93.043, -154.065
1917.833, 92.872, -162.329
2031.873, 92.698, -168.738
2152.695, 92.527, -172.385
2280.701, 92.431, -172.776
2416.318, 92.495, -170.270
2560.000, 92.755, -165.864
2712.226, 93.180, -160.846
2873.503, 93.663, -156.400
3044.370, 94.057, -153.222
3225.398, 94.241, -151.361
3417.190, 94.183, -150.353
3620.387, 93.968, -149.696
3835.666, 93.733, -149.312
4063.747, 93.544, -149.422
4305.390, 93.362, -149.890
4561.401, 93.139, -149.981
4832.637, 92.903, -149.027
5120.000, 92.724, -147.171
5424.451, 92.616, -145.195
5747.006, 92.536, -143.749
6088.740, 92.463, -143.064
6450.796, 92.436, -143.358
6834.380, 92.493, -145.143
7240.773, 92.607, -148.941
7671.332, 92.694, -154.758
8127.493, 92.641, -161.850
8610.779, 92.332, -168.784
9122.803, 91.697, -173.781
9665.273, 90.751, -175.511
10240.000, 89.583, -173.847
10848.902, 88.285, -169.949
11494.012, 86.897, -165.594
12177.480, 85.421, -162.104
12901.592, 83.885, -159.439
13668.760, 82.412, -155.917
14481.547, 81.221, -148.810
15342.664, 80.495, -135.245
16254.986, 80.225, -112.514
17221.559, 80.165, -78.057
18245.605, 79.952, -30.447
19330.547, 79.286, 27.894
20480.000, 78.172, 87.399
21697.805, 77.113, 131.138
