* Measurement data saved by REW V5.18
* Source: Scarlett 2i2 USB, no input selected, Left channel, volume: no control
* Format:  512k Log Swept Sine, 1 sweep at -34.0 dBFS  With no timing reference
* Dated: Jun 4, 2018 1:49:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: EVO-1
* Measurement: Electrovoice Re20
* Smoothing: 1/3 octave
* Frequency Step: 1/12 octave
* Start Frequency: 2.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
2.102, 42.422, -84.023
2.227, 42.578, -83.978
2.360, 42.744, -83.887
2.500, 43.027, -83.722
2.649, 43.293, -83.500
2.806, 43.320, -83.237
2.973, 43.120, -82.934
3.150, 42.626, -82.683
3.337, 41.810, -82.452
3.536, 40.681, -82.256
3.746, 39.184, -81.640
3.969, 37.263, -80.180
4.204, 34.910, -76.273
4.454, 32.235, -68.732
4.719, 29.449, -56.328
5.000, 26.959, -39.033
5.297, 25.061, -19.046
5.612, 23.734, 0.921
5.946, 22.663, 19.229
6.300, 21.443, 36.638
6.674, 19.940, 55.260
7.071, 18.455, 74.756
7.492, 17.483, 89.491
7.937, 17.367, 90.176
8.409, 18.188, 70.225
8.909, 19.863, 31.616
9.439, 22.075, -15.426
10.000, 24.204, -58.745
10.595, 25.597, -90.802
11.225, 26.078, -111.481
11.892, 25.949, -127.490
12.599, 25.535, -150.042
13.348, 24.935, 169.925
14.142, 24.351, 107.533
14.983, 24.313, 27.626
15.874, 25.220, -56.140
16.818, 26.850, -128.234
17.818, 28.710, -179.583
18.877, 30.675, 148.849
20.000, 32.996, 129.767
21.189, 35.991, 115.701
22.449, 39.855, 102.182
23.784, 44.556, 87.241
25.198, 49.826, 69.571
26.697, 55.198, 47.546
28.284, 60.106, 20.208
29.966, 64.073, -11.287
31.748, 66.909, -43.620
33.636, 68.804, -73.071
35.636, 70.194, -97.603
37.755, 71.529, -117.549
40.000, 73.079, -135.021
42.379, 74.803, -152.573
44.898, 76.401, -171.177
47.568, 77.649, 170.567
50.397, 78.671, 154.465
53.394, 79.746, 140.485
56.569, 80.968, 127.211
59.932, 82.231, 113.921
63.496, 83.513, 101.076
67.272, 85.001, 88.554
71.272, 86.806, 74.237
75.510, 88.630, 55.497
80.000, 89.869, 32.156
84.757, 90.062, 7.205
89.797, 89.184, -15.181
95.137, 87.591, -31.889
100.794, 85.775, -41.931
106.787, 84.164, -45.934
113.137, 83.136, -45.759
119.865, 82.893, -45.404
126.992, 83.167, -49.940
134.543, 83.436, -62.969
142.544, 83.524, -87.365
151.020, 83.726, -126.980
160.000, 84.390, 176.980
169.514, 85.594, 112.111
179.594, 87.166, 52.243
190.273, 88.847, 6.757
201.587, 90.401, -24.296
213.574, 91.611, -45.740
226.274, 92.344, -61.570
239.729, 92.678, -73.565
253.984, 92.852, -82.962
269.087, 93.013, -91.602
285.088, 93.037, -101.014
302.040, 92.664, -110.964
320.000, 91.768, -119.661
339.028, 90.457, -125.163
359.188, 88.988, -126.242
380.546, 87.707, -122.700
403.175, 86.943, -115.818
427.149, 86.833, -107.863
452.548, 87.319, -100.938
479.458, 88.230, -96.654
507.968, 89.289, -96.086
538.174, 90.125, -99.253
570.175, 90.389, -104.525
604.080, 89.976, -108.813
640.000, 89.173, -109.202
678.056, 88.524, -105.107
718.376, 88.452, -98.839
761.093, 88.970, -93.855
806.349, 89.725, -92.391
854.297, 90.269, -94.295
905.097, 90.343, -97.485
958.917, 90.022, -99.668
1015.937, 89.587, -100.039
1076.347, 89.268, -99.667
1140.350, 89.063, -100.397
1208.159, 88.814, -103.573
1280.000, 88.473, -110.553
1356.113, 88.191, -125.445
1436.751, 88.069, -156.779
1522.185, 87.983, 145.550
1612.699, 87.825, 56.495
1708.595, 87.660, -60.468
1810.193, 87.543, 163.794
1917.833, 87.464, 19.019
2031.873, 87.418, -124.697
2152.695, 87.402, 104.685
2280.701, 87.490, -0.045
2416.318, 87.800, -70.769
2560.000, 88.401, -109.570
2712.226, 89.242, -126.525
2873.503, 90.139, -132.548
3044.370, 90.842, -134.847
3225.398, 91.154, -136.483
3417.190, 91.031, -137.868
3620.387, 90.603, -138.472
3835.666, 90.102, -138.021
4063.747, 89.720, -136.844
4305.390, 89.512, -135.397
4561.401, 89.428, -133.691
4832.637, 89.423, -131.419
5120.000, 89.501, -128.513
5424.451, 89.697, -125.396
5747.006, 90.044, -122.865
6088.740, 90.548, -121.848
6450.796, 91.179, -123.150
6834.380, 91.878, -127.353
7240.773, 92.555, -134.853
7671.332, 93.044, -145.598
8127.493, 93.106, -158.418
8610.779, 92.548, -170.701
9122.803, 91.361, -179.240
9665.273, 89.759, 178.162
10240.000, 88.074, -178.492
10848.902, 86.595, -171.319
11494.012, 85.500, -163.592
12177.480, 84.793, -158.676
12901.592, 84.278, -158.355
13668.760, 83.715, -161.531
14481.547, 82.974, -164.795
15342.664, 81.997, -163.403
16254.986, 80.776, -152.051
17221.559, 79.287, -126.595
18245.605, 77.285, -85.563
19330.547, 74.427, -31.127
20480.000, 70.943, 27.837
21697.805, 68.064, 73.141
