* Measurement data saved by REW V5.18
* Source: Scarlett 2i2 USB, no input selected, Left channel, volume: no control
* Format:  512k Log Swept Sine, 1 sweep at -34.0 dBFS  With no timing reference
* Dated: Jun 4, 2018 3:33:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: NEU-1
* Measurement: Neumann U87
* Smoothing: 1/3 octave
* Frequency Step: 1/12 octave
* Start Frequency: 2.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
2.102, 41.915, 62.221
2.227, 42.255, 65.326
2.360, 42.620, 70.101
2.500, 43.298, 77.500
2.649, 44.028, 86.532
2.806, 44.417, 94.914
2.973, 44.527, 103.384
3.150, 44.357, 112.956
3.337, 43.967, 123.909
3.536, 43.730, 137.782
3.746, 43.777, 153.736
3.969, 44.357, 171.242
4.204, 45.423, -172.093
4.454, 46.853, -157.179
4.719, 48.454, -144.881
5.000, 50.001, -134.873
5.297, 51.402, -126.329
5.612, 52.642, -118.673
5.946, 53.729, -111.593
6.300, 54.675, -105.094
6.674, 55.474, -99.546
7.071, 56.103, -95.953
7.492, 56.510, -96.283
7.937, 56.631, -103.564
8.409, 56.474, -121.131
8.909, 56.188, -150.634
9.439, 55.991, 170.324
10.000, 55.909, 128.656
10.595, 55.667, 93.766
11.225, 55.084, 72.568
11.892, 54.403, 66.099
12.599, 53.948, 69.238
13.348, 53.435, 75.217
14.142, 52.179, 80.603
14.983, 50.059, 84.619
15.874, 47.858, 84.331
16.818, 46.553, 74.333
17.818, 46.539, 53.482
18.877, 47.623, 29.195
20.000, 49.540, 11.268
21.189, 52.277, 3.117
22.449, 55.933, 0.508
23.784, 60.416, -3.540
25.198, 65.362, -14.249
26.697, 70.254, -33.719
28.284, 74.567, -61.308
29.966, 77.874, -94.112
31.748, 79.988, -127.619
33.636, 81.095, -157.408
35.636, 81.681, 178.856
37.755, 82.285, 160.649
40.000, 83.225, 145.216
42.379, 84.396, 129.536
44.898, 85.416, 112.892
47.568, 86.094, 97.193
50.397, 86.648, 84.194
53.394, 87.401, 73.288
56.569, 88.409, 62.634
59.932, 89.522, 51.364
63.496, 90.675, 39.701
67.272, 91.964, 27.306
71.272, 93.400, 12.323
75.510, 94.642, -7.326
80.000, 95.094, -31.499
84.757, 94.367, -57.611
89.797, 92.608, -83.677
95.137, 90.418, -112.017
100.794, 88.435, -149.738
106.787, 86.991, 157.298
113.137, 86.199, 92.661
119.865, 86.024, 28.540
126.992, 86.150, -24.773
134.543, 86.265, -66.582
142.544, 86.497, -105.097
151.020, 87.240, -151.595
160.000, 88.626, 148.699
169.514, 90.359, 82.714
179.594, 92.014, 24.003
190.273, 93.382, -18.887
201.587, 94.495, -46.698
213.574, 95.377, -64.930
226.274, 95.972, -78.213
239.729, 96.287, -88.714
253.984, 96.439, -97.616
269.087, 96.473, -106.285
285.088, 96.224, -115.493
302.040, 95.469, -124.256
320.000, 94.189, -130.305
339.028, 92.629, -131.668
359.188, 91.191, -127.621
380.546, 90.319, -119.167
403.175, 90.294, -109.240
427.149, 91.024, -101.260
452.548, 92.146, -97.187
479.458, 93.268, -97.182
507.968, 94.088, -100.286
538.174, 94.408, -104.940
570.175, 94.143, -108.991
604.080, 93.443, -109.926
640.000, 92.756, -106.416
678.056, 92.569, -99.915
718.376, 93.024, -93.816
761.093, 93.842, -90.855
806.349, 94.578, -91.471
854.297, 94.926, -94.027
905.097, 94.877, -96.346
958.917, 94.641, -97.338
1015.937, 94.417, -97.443
1076.347, 94.240, -97.777
1140.350, 94.004, -98.867
1208.159, 93.647, -100.210
1280.000, 93.292, -101.425
1356.113, 93.082, -103.428
1436.751, 92.977, -107.402
1522.185, 92.879, -113.358
1612.699, 92.803, -120.765
1708.595, 92.772, -129.206
1810.193, 92.778, -137.831
1917.833, 92.832, -145.621
2031.873, 92.917, -151.676
2152.695, 93.031, -155.074
2280.701, 93.230, -155.420
2416.318, 93.573, -153.072
2560.000, 94.086, -148.972
2712.226, 94.735, -144.352
2873.503, 95.421, -140.357
3044.370, 96.009, -137.720
3225.398, 96.380, -136.584
3417.190, 96.490, -136.596
3620.387, 96.400, -137.250
3835.666, 96.230, -138.315
4063.747, 96.055, -139.822
4305.390, 95.861, -141.552
4561.401, 95.615, -142.794
4832.637, 95.351, -142.975
5120.000, 95.123, -142.333
5424.451, 94.914, -141.651
5747.006, 94.648, -141.419
6088.740, 94.292, -141.528
6450.796, 93.909, -141.753
6834.380, 93.606, -142.272
7240.773, 93.452, -143.576
7671.332, 93.440, -145.955
8127.493, 93.516, -149.149
8610.779, 93.592, -152.349
9122.803, 93.577, -154.440
9665.273, 93.424, -154.628
10240.000, 93.145, -153.104
10848.902, 92.770, -151.163
11494.012, 92.305, -150.673
12177.480, 91.725, -153.182
12901.592, 90.982, -159.050
13668.760, 90.034, -167.008
14481.547, 88.841, -174.163
15342.664, 87.344, -176.287
16254.986, 85.463, -168.421
17221.559, 83.100, -146.179
18245.605, 80.146, -107.823
19330.547, 76.567, -56.791
20480.000, 72.747, -3.626
21697.805, 69.786, 35.356
