* Measurement data saved by REW V5.18
* Source: Scarlett 2i2 USB, no input selected, Left channel, volume: no control
* Format:  512k Log Swept Sine, 1 sweep at -34.0 dBFS  With no timing reference
* Dated: Jun 4, 2018 2:12:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: RYR-2
* Measurement: Royer R-121
* Smoothing: 1/3 octave
* Frequency Step: 1/12 octave
* Start Frequency: 2.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
2.102, 55.906, -93.510
2.227, 55.376, -91.852
2.360, 54.803, -87.937
2.500, 53.507, -80.696
2.649, 51.942, -70.139
2.806, 50.551, -55.425
2.973, 49.328, -36.579
3.150, 48.814, -15.882
3.337, 49.021, 6.117
3.536, 50.013, 25.176
3.746, 51.514, 40.342
3.969, 53.235, 49.463
4.204, 54.648, 53.473
4.454, 55.538, 53.462
4.719, 55.675, 51.327
5.000, 54.995, 49.618
5.297, 53.613, 50.831
5.612, 51.829, 56.915
5.946, 50.114, 68.428
6.300, 48.933, 83.583
6.674, 48.439, 98.711
7.071, 48.324, 110.652
7.492, 48.079, 119.215
7.937, 47.496, 127.133
8.409, 46.984, 137.083
8.909, 47.228, 148.108
9.439, 48.466, 155.625
10.000, 50.194, 155.198
10.595, 51.534, 145.984
11.225, 51.948, 129.921
11.892, 51.471, 108.823
12.599, 50.590, 82.733
13.348, 49.921, 51.279
14.142, 49.923, 15.969
14.983, 50.737, -20.433
15.874, 52.221, -57.494
16.818, 54.134, -98.311
17.818, 56.323, -145.157
18.877, 58.763, 165.046
20.000, 61.340, 118.593
21.189, 63.740, 79.353
22.449, 65.736, 46.735
23.784, 67.493, 17.737
25.198, 69.413, -10.724
26.697, 71.695, -40.649
28.284, 74.085, -72.460
29.966, 76.061, -104.601
31.748, 77.298, -133.839
33.636, 77.985, -157.350
35.636, 78.621, -175.063
37.755, 79.560, 170.567
40.000, 80.835, 156.891
42.379, 82.298, 142.427
44.898, 83.766, 126.729
47.568, 85.083, 110.059
50.397, 86.166, 93.022
53.394, 87.001, 76.055
56.569, 87.562, 59.369
59.932, 87.783, 43.577
63.496, 87.701, 30.115
67.272, 87.594, 19.976
71.272, 87.787, 11.917
75.510, 88.285, 3.456
80.000, 88.841, -6.557
84.757, 89.267, -18.078
89.797, 89.375, -31.107
95.137, 88.850, -44.640
100.794, 87.496, -55.365
106.787, 85.614, -58.807
113.137, 84.113, -53.079
119.865, 83.905, -42.370
126.992, 85.011, -34.365
134.543, 86.624, -33.549
142.544, 88.044, -39.901
151.020, 89.167, -53.877
160.000, 90.161, -80.117
169.514, 91.073, -124.583
179.594, 91.943, 172.755
190.273, 92.972, 101.910
201.587, 94.237, 37.542
213.574, 95.504, -11.087
226.274, 96.479, -43.443
239.729, 97.088, -63.641
253.984, 97.476, -76.492
269.087, 97.782, -86.135
285.088, 97.930, -95.251
302.040, 97.719, -104.250
320.000, 97.070, -111.783
339.028, 96.116, -116.350
359.188, 95.111, -117.267
380.546, 94.337, -114.866
403.175, 94.003, -110.660
427.149, 94.100, -106.623
452.548, 94.451, -103.764
479.458, 94.935, -102.090
507.968, 95.501, -101.830
538.174, 96.000, -103.516
570.175, 96.177, -106.588
604.080, 95.930, -109.012
640.000, 95.458, -108.866
678.056, 95.114, -105.921
718.376, 95.156, -101.726
761.093, 95.587, -98.550
806.349, 96.160, -97.917
854.297, 96.553, -99.623
905.097, 96.608, -102.089
958.917, 96.405, -103.827
1015.937, 96.131, -104.544
1076.347, 95.895, -104.929
1140.350, 95.678, -105.682
1208.159, 95.438, -106.920
1280.000, 95.208, -108.591
1356.113, 95.057, -111.169
1436.751, 94.971, -115.355
1522.185, 94.888, -121.250
1612.699, 94.801, -128.476
1708.595, 94.713, -136.619
1810.193, 94.603, -144.908
1917.833, 94.480, -152.282
2031.873, 94.366, -157.851
2152.695, 94.282, -160.875
2280.701, 94.288, -160.951
2416.318, 94.464, -158.384
2560.000, 94.850, -154.153
2712.226, 95.411, -149.538
2873.503, 96.031, -145.737
3044.370, 96.552, -143.407
3225.398, 96.845, -142.533
3417.190, 96.872, -142.626
3620.387, 96.703, -143.121
3835.666, 96.461, -143.757
4063.747, 96.232, -144.504
4305.390, 96.034, -145.151
4561.401, 95.875, -145.304
4832.637, 95.772, -144.908
5120.000, 95.706, -144.413
5424.451, 95.610, -144.304
5747.006, 95.427, -144.751
6088.740, 95.165, -145.745
6450.796, 94.872, -147.390
6834.380, 94.594, -149.969
7240.773, 94.342, -153.721
7671.332, 94.096, -158.647
8127.493, 93.790, -164.332
8610.779, 93.307, -169.727
9122.803, 92.547, -173.302
9665.273, 91.485, -173.829
10240.000, 90.167, -171.143
10848.902, 88.663, -166.214
11494.012, 87.027, -160.552
12177.480, 85.297, -155.355
12901.592, 83.509, -150.672
13668.760, 81.751, -144.899
14481.547, 80.212, -135.165
15342.664, 79.104, -118.386
16254.986, 78.457, -91.833
17221.559, 78.009, -52.664
18245.605, 77.418, 1.476
19330.547, 76.568, 68.401
20480.000, 75.607, 136.614
21697.805, 74.852, -173.711
