* Measurement data saved by REW V5.18
* Source: Scarlett 2i2 USB, no input selected, Left channel, volume: no control
* Format:  512k Log Swept Sine, 1 sweep at -34.0 dBFS  With no timing reference
* Dated: Jun 5, 2018 12:29:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: SCH-1
* Measurement: Schoeps Omni
* Smoothing: 1/3 octave
* Frequency Step: 1/12 octave
* Start Frequency: 2.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
2.102, 44.237, 106.346
2.227, 43.792, 113.644
2.360, 43.314, 125.337
2.500, 42.433, 144.171
2.649, 41.477, 167.339
2.806, 40.924, -170.725
2.973, 40.701, -148.966
3.150, 40.811, -129.386
3.337, 41.252, -111.839
3.536, 41.823, -95.540
3.746, 42.520, -80.489
3.969, 43.287, -66.449
4.204, 44.067, -53.739
4.454, 44.789, -42.369
4.719, 45.364, -32.141
5.000, 45.741, -22.209
5.297, 46.021, -11.906
5.612, 46.393, -1.540
5.946, 47.051, 7.329
6.300, 48.096, 11.997
6.674, 49.482, 9.462
7.071, 51.059, -2.436
7.492, 52.670, -24.387
7.937, 54.199, -55.770
8.409, 55.560, -95.251
8.909, 56.699, -141.551
9.439, 57.615, 167.007
10.000, 58.341, 113.576
10.595, 58.882, 63.560
11.225, 59.263, 22.582
11.892, 59.691, -7.358
12.599, 60.495, -31.418
13.348, 61.695, -60.495
14.142, 62.849, -104.428
14.983, 63.536, -165.386
15.874, 63.773, 123.447
16.818, 63.849, 53.377
17.818, 64.021, -6.996
18.877, 64.429, -57.360
20.000, 65.147, -104.698
21.189, 66.327, -156.585
22.449, 68.262, 145.500
23.784, 71.122, 86.748
25.198, 74.658, 33.284
26.697, 78.347, -13.088
28.284, 81.663, -54.716
29.966, 84.218, -94.498
31.748, 85.879, -132.978
33.636, 86.824, -168.350
35.636, 87.392, 161.700
37.755, 87.908, 138.010
40.000, 88.571, 118.680
42.379, 89.293, 100.241
44.898, 89.721, 81.146
47.568, 89.656, 63.408
50.397, 89.369, 49.740
53.394, 89.334, 40.030
56.569, 89.745, 31.838
59.932, 90.499, 23.339
63.496, 91.527, 14.044
67.272, 92.896, 2.961
71.272, 94.554, -12.638
75.510, 96.074, -36.320
80.000, 96.752, -70.595
84.757, 96.037, -116.407
89.797, 93.926, -173.829
95.137, 91.041, 119.056
100.794, 88.286, 49.145
106.787, 86.315, -12.561
113.137, 85.335, -59.406
119.865, 85.146, -96.332
126.992, 85.221, -136.519
134.543, 85.185, 166.892
142.544, 85.295, 85.987
151.020, 86.107, -18.096
160.000, 87.709, -132.884
169.514, 89.588, 120.307
179.594, 91.152, 36.126
190.273, 92.186, -21.118
201.587, 92.849, -56.249
213.574, 93.311, -77.622
226.274, 93.583, -91.734
239.729, 93.692, -101.798
253.984, 93.780, -109.707
269.087, 93.889, -117.608
285.088, 93.775, -126.890
302.040, 93.101, -136.612
320.000, 91.773, -144.007
339.028, 90.039, -146.553
359.188, 88.328, -143.209
380.546, 87.115, -134.627
403.175, 86.767, -123.423
427.149, 87.312, -113.241
452.548, 88.453, -106.847
479.458, 89.757, -105.259
507.968, 90.814, -107.924
538.174, 91.317, -113.163
570.175, 91.112, -118.335
604.080, 90.345, -120.299
640.000, 89.513, -117.326
678.056, 89.170, -110.717
718.376, 89.531, -104.028
761.093, 90.345, -100.537
806.349, 91.110, -101.080
854.297, 91.453, -103.905
905.097, 91.355, -106.471
958.917, 91.058, -107.564
1015.937, 90.774, -107.745
1076.347, 90.520, -108.115
1140.350, 90.198, -109.075
1208.159, 89.776, -110.272
1280.000, 89.381, -111.901
1356.113, 89.149, -116.037
1436.751, 89.062, -126.482
1522.185, 89.058, -148.445
1612.699, 89.132, 171.600
1708.595, 89.248, 109.927
1810.193, 89.364, 32.509
1917.833, 89.484, -45.634
2031.873, 89.582, -112.498
2152.695, 89.637, -169.689
2280.701, 89.693, 129.060
2416.318, 89.809, 48.046
2560.000, 90.023, -58.997
2712.226, 90.346, 175.774
2873.503, 90.756, 47.956
3044.370, 91.190, -70.386
3225.398, 91.552, -177.286
3417.190, 91.750, 84.873
3620.387, 91.770, -0.025
3835.666, 91.674, -63.730
4063.747, 91.517, -103.687
4305.390, 91.309, -124.717
4561.401, 91.071, -133.677
4832.637, 90.868, -135.974
5120.000, 90.748, -135.248
5424.451, 90.680, -133.787
5747.006, 90.579, -132.595
6088.740, 90.422, -131.692
6450.796, 90.294, -131.000
6834.380, 90.298, -130.964
7240.773, 90.455, -132.191
7671.332, 90.722, -134.796
8127.493, 91.031, -138.282
8610.779, 91.289, -141.600
9122.803, 91.427, -143.373
9665.273, 91.440, -142.688
10240.000, 91.376, -139.797
10848.902, 91.293, -136.098
11494.012, 91.229, -133.584
12177.480, 91.190, -133.996
12901.592, 91.152, -137.974
13668.760, 91.072, -144.536
14481.547, 90.889, -150.959
15342.664, 90.531, -152.981
16254.986, 89.941, -145.449
17221.559, 89.067, -123.592
18245.605, 87.829, -84.915
19330.547, 86.149, -31.767
20480.000, 84.193, 25.682
21697.805, 82.598, 69.178
