* Measurement data saved by REW V5.18
* Source: Scarlett 2i2 USB, no input selected, Left channel, volume: no control
* Format:  512k Log Swept Sine, 1 sweep at -34.0 dBFS  With no timing reference
* Dated: Jun 4, 2018 1:54:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: SEN-8
* Measurement: Sennheiser 441
* Smoothing: 1/3 octave
* Frequency Step: 1/12 octave
* Start Frequency: 2.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
2.102, 34.621, -131.491
2.227, 34.656, -132.553
2.360, 34.685, -133.954
2.500, 34.428, -136.413
2.649, 33.836, -138.484
2.806, 32.484, -137.550
2.973, 30.445, -133.231
3.150, 28.089, -121.466
3.337, 25.528, -102.609
3.536, 23.611, -78.373
3.746, 22.370, -52.900
3.969, 22.078, -31.375
4.204, 22.058, -17.789
4.454, 21.835, -10.572
4.719, 20.836, -6.219
5.000, 18.872, 2.516
5.297, 16.374, 18.461
5.612, 13.872, 37.939
5.946, 11.750, 52.456
6.300, 10.104, 53.018
6.674, 8.893, 36.296
7.071, 8.163, 7.585
7.492, 8.036, -22.375
7.937, 8.521, -43.291
8.409, 9.398, -50.615
8.909, 10.289, -46.147
9.439, 10.748, -33.489
10.000, 10.510, -13.476
10.595, 9.848, 15.771
11.225, 9.442, 53.963
11.892, 9.763, 96.197
12.599, 10.590, 136.967
13.348, 11.414, 175.697
14.142, 12.169, -144.381
14.983, 13.246, -101.780
15.874, 14.874, -58.565
16.818, 16.783, -17.093
17.818, 18.517, 22.942
18.877, 19.909, 64.100
20.000, 21.322, 108.248
21.189, 23.418, 153.128
22.449, 26.599, -167.688
23.784, 30.835, -140.482
25.198, 36.088, -128.443
26.697, 42.427, -132.576
28.284, 49.561, -152.510
29.966, 56.625, 174.614
31.748, 62.702, 134.469
33.636, 67.431, 93.437
35.636, 71.078, 55.822
37.755, 74.176, 22.566
40.000, 77.139, -8.197
42.379, 79.989, -39.176
44.898, 82.403, -71.227
47.568, 84.129, -102.405
50.397, 85.324, -130.207
53.394, 86.380, -154.348
56.569, 87.502, -176.616
59.932, 88.620, 161.585
63.496, 89.666, 140.331
67.272, 90.755, 119.597
71.272, 91.952, 97.686
75.510, 92.966, 72.456
80.000, 93.258, 43.985
84.757, 92.532, 14.550
89.797, 90.988, -14.830
95.137, 89.116, -47.636
100.794, 87.303, -90.956
106.787, 85.735, -149.042
113.137, 84.640, 143.494
119.865, 84.234, 79.748
126.992, 84.355, 30.711
134.543, 84.596, -0.502
142.544, 84.798, -16.680
151.020, 85.142, -22.942
160.000, 85.835, -24.488
169.514, 86.898, -25.153
179.594, 88.222, -26.979
190.273, 89.680, -30.860
201.587, 91.133, -37.293
213.574, 92.384, -46.262
226.274, 93.253, -56.775
239.729, 93.722, -67.254
253.984, 93.952, -76.835
269.087, 94.072, -86.064
285.088, 93.998, -95.790
302.040, 93.519, -105.553
320.000, 92.553, -113.565
339.028, 91.242, -117.908
359.188, 89.906, -117.468
380.546, 88.962, -112.661
403.175, 88.709, -105.878
427.149, 89.102, -100.117
452.548, 89.858, -97.004
479.458, 90.708, -96.743
507.968, 91.449, -99.074
538.174, 91.870, -103.367
570.175, 91.800, -108.071
604.080, 91.272, -110.814
640.000, 90.618, -109.925
678.056, 90.271, -105.966
718.376, 90.454, -101.457
761.093, 91.030, -99.086
806.349, 91.628, -99.920
854.297, 91.914, -102.898
905.097, 91.817, -105.993
958.917, 91.506, -107.972
1015.937, 91.167, -109.040
1076.347, 90.855, -110.065
1140.350, 90.510, -111.546
1208.159, 90.095, -113.335
1280.000, 89.670, -115.296
1356.113, 89.315, -117.936
1436.751, 89.026, -121.912
1522.185, 88.769, -127.326
1612.699, 88.546, -133.995
1708.595, 88.341, -141.542
1810.193, 88.142, -149.089
1917.833, 87.969, -155.703
2031.873, 87.816, -160.608
2152.695, 87.676, -162.931
2280.701, 87.611, -162.114
2416.318, 87.712, -158.378
2560.000, 88.036, -152.617
2712.226, 88.579, -146.152
2873.503, 89.246, -140.313
3044.370, 89.889, -135.920
3225.398, 90.382, -133.119
3417.190, 90.687, -131.559
3620.387, 90.874, -130.852
3835.666, 91.062, -131.007
4063.747, 91.293, -132.352
4305.390, 91.485, -134.832
4561.401, 91.531, -137.576
4832.637, 91.427, -139.512
5120.000, 91.266, -140.369
5424.451, 91.117, -140.846
5747.006, 90.963, -141.933
6088.740, 90.715, -144.170
6450.796, 90.299, -147.315
6834.380, 89.731, -150.672
7240.773, 89.116, -153.607
7671.332, 88.601, -155.813
8127.493, 88.288, -157.379
8610.779, 88.146, -158.399
9122.803, 88.038, -158.512
9665.273, 87.835, -157.162
10240.000, 87.492, -154.355
10848.902, 87.018, -151.037
11494.012, 86.424, -148.698
12177.480, 85.714, -148.597
12901.592, 84.876, -151.092
13668.760, 83.874, -154.928
14481.547, 82.685, -156.738
15342.664, 81.400, -151.584
16254.986, 80.232, -134.761
17221.559, 79.319, -103.896
18245.605, 78.485, -60.061
19330.547, 77.325, -8.329
20480.000, 75.695, 41.577
21697.805, 74.177, 76.559
