* Measurement data saved by REW V5.18
* Source: Scarlett 2i2 USB, no input selected, Left channel, volume: no control
* Format:  512k Log Swept Sine, 1 sweep at -34.0 dBFS  With no timing reference
* Dated: Jun 4, 2018 1:43:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: SHU-9
* Measurement: Shure SM-57
* Smoothing: 1/3 octave
* Frequency Step: 1/12 octave
* Start Frequency: 2.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
2.102, 35.533, -113.200
2.227, 35.625, -114.731
2.360, 35.720, -117.802
2.500, 35.758, -123.078
2.649, 35.679, -130.547
2.806, 35.252, -140.427
2.973, 34.533, -153.058
3.150, 33.753, -168.639
3.337, 32.961, 172.857
3.536, 32.535, 152.557
3.746, 32.450, 131.587
3.969, 32.780, 111.501
4.204, 33.230, 93.729
4.454, 33.593, 78.414
4.719, 33.601, 65.273
5.000, 33.033, 52.685
5.297, 31.865, 38.222
5.612, 30.288, 19.428
5.946, 28.723, -5.459
6.300, 27.711, -36.250
6.674, 27.627, -70.146
7.071, 28.379, -102.573
7.492, 29.430, -129.098
7.937, 30.141, -146.565
8.409, 30.259, -153.514
8.909, 30.149, -150.664
9.439, 30.491, -141.941
10.000, 31.693, -133.524
10.595, 33.561, -130.652
11.225, 35.618, -135.020
11.892, 37.483, -145.786
12.599, 38.896, -161.387
13.348, 39.557, -179.695
14.142, 39.220, 162.524
14.983, 37.948, 148.300
15.874, 36.162, 137.971
16.818, 34.475, 128.465
17.818, 33.563, 115.281
18.877, 33.984, 96.090
20.000, 35.905, 73.666
21.189, 39.062, 54.344
22.449, 42.960, 42.384
23.784, 47.206, 36.870
25.198, 51.683, 32.517
26.697, 56.298, 22.858
28.284, 60.732, 4.324
29.966, 64.517, -22.197
31.748, 67.321, -52.526
33.636, 69.172, -81.682
35.636, 70.451, -106.387
37.755, 71.657, -126.244
40.000, 73.133, -143.423
42.379, 74.829, -160.911
44.898, 76.378, -179.788
47.568, 77.518, 161.701
50.397, 78.399, 145.712
53.394, 79.353, 132.197
56.569, 80.508, 119.526
59.932, 81.771, 106.793
63.496, 83.113, 94.254
67.272, 84.680, 81.533
71.272, 86.529, 66.414
75.510, 88.310, 46.389
80.000, 89.376, 21.608
84.757, 89.247, -4.359
89.797, 87.947, -26.644
95.137, 85.966, -41.832
100.794, 83.938, -49.475
106.787, 82.315, -51.252
113.137, 81.372, -49.703
119.865, 81.194, -48.734
126.992, 81.469, -52.862
134.543, 81.741, -65.238
142.544, 81.953, -88.889
151.020, 82.445, -128.277
160.000, 83.463, 175.180
169.514, 84.908, 109.517
179.594, 86.488, 49.050
190.273, 87.963, 3.496
201.587, 89.231, -26.920
213.574, 90.209, -47.175
226.274, 90.818, -61.683
239.729, 91.109, -72.567
253.984, 91.269, -81.104
269.087, 91.416, -88.963
285.088, 91.431, -97.544
302.040, 91.059, -106.615
320.000, 90.166, -114.354
339.028, 88.866, -118.659
359.188, 87.462, -118.206
380.546, 86.356, -113.094
403.175, 85.875, -105.230
427.149, 86.066, -97.301
452.548, 86.762, -91.200
479.458, 87.745, -87.904
507.968, 88.767, -87.891
538.174, 89.525, -90.866
570.175, 89.754, -95.201
604.080, 89.415, -98.170
640.000, 88.809, -97.459
678.056, 88.421, -92.953
718.376, 88.591, -86.979
761.093, 89.278, -82.678
806.349, 90.121, -81.871
854.297, 90.707, -84.025
905.097, 90.855, -87.010
958.917, 90.687, -88.947
1015.937, 90.452, -89.518
1076.347, 90.289, -89.731
1140.350, 90.152, -90.589
1208.159, 89.941, -92.127
1280.000, 89.687, -93.915
1356.113, 89.517, -96.295
1436.751, 89.456, -100.311
1522.185, 89.413, -106.333
1612.699, 89.353, -113.891
1708.595, 89.291, -122.502
1810.193, 89.218, -131.610
1917.833, 89.158, -140.914
2031.873, 89.140, -151.561
2152.695, 89.186, -166.867
2280.701, 89.362, 167.304
2416.318, 89.731, 124.806
2560.000, 90.295, 65.876
2712.226, 90.996, 1.752
2873.503, 91.734, -51.992
3044.370, 92.387, -87.404
3225.398, 92.846, -106.589
3417.190, 93.070, -115.594
3620.387, 93.121, -119.466
3835.666, 93.119, -121.247
4063.747, 93.142, -122.501
4305.390, 93.188, -123.649
4561.401, 93.249, -124.377
4832.637, 93.358, -124.535
5120.000, 93.526, -124.723
5424.451, 93.666, -125.831
5747.006, 93.632, -128.141
6088.740, 93.355, -131.106
6450.796, 92.909, -134.043
6834.380, 92.437, -136.897
7240.773, 92.011, -139.954
7671.332, 91.662, -142.951
8127.493, 91.497, -145.370
8610.779, 91.595, -147.504
9122.803, 91.809, -150.113
9665.273, 91.817, -153.187
10240.000, 91.379, -155.897
10848.902, 90.501, -157.753
11494.012, 89.366, -159.534
12177.480, 88.164, -163.084
12901.592, 86.932, -170.096
13668.760, 85.532, 179.402
14481.547, 83.770, 167.714
15342.664, 81.512, 158.967
16254.986, 78.754, 157.844
17221.559, 75.627, 168.113
18245.605, 72.342, -168.680
19330.547, 69.162, -134.536
20480.000, 66.423, -96.639
21697.805, 64.589, -67.577
